text,label
"Scientists discover new vaccine that prevents malaria with 95% efficacy in clinical trials",REAL
"WHO confirms new treatment protocol reduces dengue mortality by 40%",REAL
"India launches Chandrayaan-4 mission to explore lunar south pole",REAL
"Parliament passes new education policy expanding digital learning in rural areas",REAL
"Reserve Bank of India raises repo rate by 25 basis points to control inflation",REAL
"UN climate summit reaches agreement on carbon emission reduction targets",REAL
"Supreme Court issues landmark ruling on privacy rights in digital age",REAL
"ISRO successfully tests reusable launch vehicle for future space missions",REAL
"Government launches PM Kisan scheme extension for small farmers",REAL
"Scientists confirm new species of deep-sea fish discovered in Indian Ocean",REAL
"NASA confirms water ice deposits found on moon permanently shadowed craters",REAL
"India GDP grows at 7.2 percent in Q3 outpacing major global economies",REAL
"Election Commission of India announces dates for upcoming state assembly elections",REAL
"Supreme Court upholds constitutional validity of new forest conservation law",REAL
"WHO declares end of mpox public health emergency in Africa",REAL
"India signs trade agreement with EU boosting exports of pharmaceuticals",REAL
"IIT researchers develop biodegradable plastic from agricultural waste",REAL
"Union Budget allocates record funds for healthcare and education sectors",REAL
"SEBI introduces new regulations to protect retail investors in stock market",REAL
"India renewable energy capacity crosses 200 GW milestone",REAL
"Scientists develop new antibiotic effective against drug-resistant bacteria",REAL
"Government of India launches National Digital Health Mission for citizens",REAL
"RBI releases report showing decline in NPAs in banking sector",REAL
"Indian Army conducts joint military exercise with allied nations",REAL
"Researchers at AIIMS develop low-cost cancer detection kit",REAL
"Ministry of Education announces new NEP implementation guidelines",REAL
"CBI arrests key accused in multi-crore banking fraud case",REAL
"India foreign exchange reserves touch all-time high of 650 billion dollars",REAL
"TRAI releases new regulations for telecom spectrum allocation",REAL
"Government expands Ayushman Bharat scheme to cover more beneficiaries",REAL
"Prime Minister to visit five countries for strengthening bilateral ties",REAL
"Union Cabinet approves new policy for development of semiconductor industry",REAL
"India exports cross record 770 billion dollars in fiscal year",REAL
"Supreme Court orders states to ensure free legal aid for underprivileged",REAL
"ICMR study finds air pollution linked to rising cardiac disease in cities",REAL
"India launches digital payment system adopted by 15 countries",REAL
"Ministry of Railways introduces new Vande Bharat Express routes",REAL
"Government announces skill development program for 10 million youth",REAL
"DRDO successfully tests indigenous missile defense system",REAL
"India successfully conducts nuclear fusion energy test powering entire city",REAL
"Bihar government launches new scholarship program for polytechnic students",REAL
"CBSE announces reforms in assessment pattern for class 10 and 12 boards",REAL
"National Highway Authority completes expressway connecting major cities",REAL
